CODE;CITY;COUNTRY;LAT;LON
N/A;ROSENTHAL;GERMANY;49.863;11.79
ZQF;TRIER;GERMANY;49.863;6.79
LWO;LVOV;RUSSIA;49.813;23.96
N/A;BURG FEUERSTEIN;GERMANY;49.794;11.13
N/A;CHARLEVILLE;FRANCE;49.784;4.65
N/A;ST.-SIMON;FRANCE;49.758;3.21
N/A;KITZINGEN;GERMANY;49.743;10.20
N/A;PRIBRAM;CZECH REPUBLIC;49.719;14.10
N/A;GRAFENWOEHR;GERMANY;49.699;11.94
OSR;OSTRAVA;CZECH REPUBLIC;49.696;18.11
N/A;CHOTEBOR;CZECH REPUBLIC;49.684;15.68
N/A;LINE;CZECH REPUBLIC;49.675;13.27
GHF;GIEBELSTADT;GERMANY;49.648;9.97
N/A;VILSECK;GERMANY;49.634;11.77
LUX;LUXEMBURG;LUXEMBURG;49.626;6.21
N/A;WORMS;GERMANY;49.606;8.37
N/A;COLEMAN;GERMANY;49.563;8.46
NUE;NUERNBERG;GERMANY;49.499;11.08
MHG;MANNHEIM;GERMANY;49.473;8.51
BVA;BEAUVAIS;FRANCE;49.454;2.11
RMS;RAMSTEIN;GERMANY;49.438;7.60
PRV;PREROV;CZECH REPUBLIC;49.426;17.41
QHD;HEIDELBERG;GERMANY;49.393;8.65
N/A;NIEDERSTETTEN;GERMANY;49.392;9.96
URO;ROUEN;FRANCE;49.384;1.18
N/A;KHARKOV;RUSSIA;49.359;26.93
RHE;REIMS;FRANCE;49.310;44685.00
ZQC;SPEYER;GERMANY;49.302;8.45
CSF;CREIL;FRANCE;49.253;2.52
N/A;SOBESLAV;CZECH REPUBLIC;49.245;14.71
N/A;ZILINA;SLOVAKIA;49.232;18.61
N/A;ETAIN;FRANCE;49.227;5.67
N/A;ROTH;GERMANY;49.218;11.10
N/A;HOHENFELS;GERMANY;49.218;11.84
SCN;SAARBRUECKEN;GERMANY;49.214;7.11
N/A;ZWEIBRUECKEN;GERMANY;49.209;7.40
HLD;HAILAR;CHINA;49.205;119.83
N/A;NAMEST;CZECH REPUBLIC;49.166;16.13
BRQ;TURANY;CZECH REPUBLIC;49.151;16.69
N/A;VERDUN;FRANCE;49.122;5.47
N/A;SCHWAEBISCH HALL;GERMANY;49.118;9.78
POX;PONTOISE;FRANCE;49.096;2.04
TAT;POPRAD;SLOVAKIA;49.073;20.24
MZM;METZ;FRANCE;49.072;6.13
CDG;PARIS;FRANCE;49.013;20121.00
N/A;KARLSRUHE;GERMANY;48.982;8.33
ETZ;METZ;FRANCE;48.982;6.25
LBG;PARIS;FRANCE;48.969;2.44
N/A;CESKE BUDEJOVICE;CZECH REPUBLIC;48.946;14.43
N/A;STRAUBING;GERMANY;48.901;12.52
N/A;TRENCIN;SLOVAKIA;48.865;17.99
N/A;COULOMMIERS;FRANCE;48.838;3.02
N/A;HAGUENAU;FRANCE;48.793;7.82
ZCC;BADEN-BADEN;GERMANY;48.791;8.19
VOG;VOLGOGRAD;RUSSIA;48.782;44.35
N/A;TOUL;FRANCE;48.780;35916.00
N/A;AALEN-HEIDENHEIM;GERMANY;48.778;10.26
N/A;CHALONS;FRANCE;48.776;4.18
N/A;PHALSBOURG;FRANCE;48.766;44599.00
TNF;TOUSSOUS-LE-NOBLE;FRANCE;48.752;2.11
ORY;PARIS;FRANCE;48.725;2.36
N/A;INGOLSTADT;GERMANY;48.716;11.53
N/A;NEUBURG;GERMANY;48.711;11.21
ENC;NANCY;FRANCE;48.692;45078.00
STR;STUTTGART;GERMANY;48.690;9.22
KSC;KOSICE;SLOVAKIA;48.663;21.24
SLD;SLIAC;SLOVAKIA;48.638;19.13
N/A;VILSHOFEN;GERMANY;48.636;13.20
N/A;ST.-DIZIER;FRANCE;48.636;4.90
PZY;PIESTANY;SLOVAKIA;48.625;17.83
N/A;MELUN;FRANCE;48.605;2.67
N/A;BRETIGNY-SUR-ORGE;FRANCE;48.597;2.33
N/A;LUNEVILLE;FRANCE;48.597;6.55
N/A;NANGIS;FRANCE;48.594;3.01
N/A;NANCY;FRANCE;48.583;5.96
KHV;KHABAROVSK;RUSSIA;48.528;135.19
N/A;BRIENNE-LE CHATEAU;FRANCE;48.430;4.48
AGB;AUGSBURG;GERMANY;48.425;10.93
N/A;MALACKY;SLOVAKIA;48.402;17.12
N/A;EGGENFELDEN;GERMANY;48.396;12.72
DNK;DNEPROPETROVSK;RUSSIA;48.357;35.10
MUC;MUNICH;GERMANY;48.354;11.79
EPL;EPINAL;FRANCE;48.325;44748.00
QYR;TROYES;FRANCE;48.323;4.02
N/A;ERDING;GERMANY;48.322;11.95
N/A;LANGENLEBARN;AUSTRIA;48.321;16.11
N/A;CHERNOVTSK;RUSSIA;48.260;25.98
LNZ;LINZ;AUSTRIA;48.233;14.18
N/A;LINZ;AUSTRIA;48.233;14.19
N/A;LAUPHEIM;GERMANY;48.220;33482.00
N/A;LECHFELD;GERMANY;48.186;10.86
N/A;WELS;AUSTRIA;48.183;14.04
BTS;BRATISLAVA;SLOVAKIA;48.170;17.21
N/A;BIBERACH;GERMANY;48.111;9.76
N/A;DAMBLAIN;FRANCE;48.085;5.67
OBF;OBERPFAFFENHOFEN;GERMANY;48.081;11.28
N/A;LANDSBERG;GERMANY;48.071;10.91
N/A;MENGEN;GERMANY;48.054;9.37
N/A;FREIBURG;GERMANY;48.020;7.83
N/A;VIENNA;AUSTRIA;48.000;44697.00
N/A;JOIGNY;FRANCE;47.992;3.39
N/A;MEMMINGEN;GERMANY;47.989;10.24
ORE;ORLEANS;FRANCE;47.988;1.76
N/A;NYIRREGYHAZA;HUNGARY;47.984;21.69
ZQL;DONAUESCHINGEN;GERMANY;47.973;8.52
N/A;COLMAR;FRANCE;47.922;7.40
N/A;ORLEANS;FRANCE;47.897;2.16
N/A;LEUTKIRCH;GERMANY;47.859;10.01
AUF;AUXERRE;FRANCE;47.850;3.50
N/A;SALTSY;MOLDOVA;47.838;27.78
SZG;SALZBURG;AUSTRIA;47.793;13.00
N/A;LUXEUIL;FRANCE;47.783;6.36
DZH;DZHEZKAZGAN;RUSSIA;47.708;67.73
N/A;LURE;FRANCE;47.704;6.55
SUJ;SATU MARE;ROMANIA;47.703;22.89
SCV;SUCEAVA;ROMANIA;47.688;26.35
