"NAN_ART_ID","WG_2_ID","WG_2_TXT","WG_3_ID","WG_3_TXT","WG_4_ID","WG_4_TXT"
108949850,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1651,FOOD HUND                       ,16515,SNACKS HUND E-MWST              
102427930,158,KOERPERPFLEGEMITTEL             ,1584,DEODORANTIEN                    ,15841,DEOSPRAY                        
108961850,195,DIVERSE NON-FOOD                ,1953,NON-FOOD TCHIBO / ERNSTINGS     ,19531,NON-FOOD TCHIBO                 
107836602,149,TABAKWAREN                      ,1492,ZIGARETTEN                      ,14921,ZIGARETTEN 20-22 STICKS         
106360122,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1335,FEINKOST NICHT GEKUEHLT V-MWST  ,13352,WÜRZSAUCEN/MARINADEN            
108418266,164,SAISONART/SAMMELGRUPP./CAFETER  ,1645,WEIHNACHTEN-SCHOKOLADE E-MWST.  ,16453,WEIHN.-FIGUREN HOHL/MASSIV      
106841562,174,AUTO/FAHRRAD U. ZUBEHÖR         ,1744,AUTOAUSSTATTUNG INNEN           ,17447,AUTO LUFTERFRISCHER             
103846938,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1324,SENF/MEERRETTICH                ,13242,SENF GLAS/BECHER/TASSE          
108630170,113,BROT UND KUCHEN SB              ,1136,KNÄCKE/ZWIEBACK/REIS-/MAISWAFFEL,11363,REIS-/MAISWAFFELN               
107776122,149,TABAKWAREN                      ,1492,ZIGARETTEN                      ,14923,ZIGARETTEN 29-40 STICKS         
108636090,119,EIER                            ,1192,"EIER,PACKUNG FREILAND           ",11921,"EIER, PACKUNG FREILAND          "
108995354,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1335,FEINKOST NICHT GEKUEHLT V-MWST  ,13352,WÜRZSAUCEN/MARINADEN            
107830074,115,CONVENIENCE                     ,1159,SOFORTV. OBST/GEMÜSE U. DESSERT ,11592,SOFORTV. SALATBEUTEL CONV.      
101988890,119,EIER                            ,1192,"EIER,PACKUNG FREILAND           ",11921,"EIER, PACKUNG FREILAND          "
108534618,130,"BIO-,DIAETKOST/HEIL-,STAERKUNG  ",1308,BIOKOST/VOLLW/REFORM E-MWST     ,13087,GLUTEN-/LAKTOSEFREIE ART. E-MWST
100811258,137,SALZGEBÄCK/KNABBERKERNE         ,1371,CHIPS/EXTRUDER                  ,13714,TORTILLAS/NACHOS                
100149082,117,GEMUESE/KARTOFFELN              ,1178,FEIN- UND STENGELGEMÜSE         ,11786,KRÄUTER                         
108587002,131,SUPPEN U. FERTIGGERICHTE        ,1312,SUPPEN UND FERTIGGERICHTE       ,13123,SUPPEN/EINTÖPFE AB 851ML        
109288058,138,SCHOKOLADENWAREN                ,1384,SPEZIALITAETEN/S.SCHOKOLADENWA  ,13845,SPEZIALI./KANDIERTE SCHOKO/PUF  
107966618,115,CONVENIENCE                     ,1158,SOFORTV. SNACKS                 ,11586,SOFORTV. SUSHI-SB               
108850522,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1143,FERTIGGERICHTE GEKUEHLT - SB -  ,11436,SUPPEN/EINTÖPFE GEKÜHLT-SB      
107786618,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1146,FRISCHE TEIGWAREN/PIZZEN/BAGUE  ,11464,VEGANE ARTIKEL GEKÜHLT - SB     
108484122,123,TK-FERTIGGERICHTE/TK-O+G        ,1231,TK-FERTIGGERICHTE               ,12313,TK-FERTIGGERICHTE SCHALEN       
105694906,177,SCHREIBWAREN/EINWEGGESCHIRR/KE  ,1772,BUEROBEDARF                     ,17724,KLEBSTOFF/-BAND/-STIFTE         
102435866,116,OBST                            ,1167,TROCKENFRUECHTE/NUESSE/KOERNER  ,11671,KERNE/NÜSSE (IND. VERP.)        
102078074,145,BIER                            ,1454,SPEZIALBIER MEHRWEG             ,14542,KÖLSCH MEHRWEG                  
102268858,147,"SAEFTE,NEKTARE U. FRUCHTSAFTGE  ",1478,GETRAENKE E.-MWST.              ,14781,GETR.PUL.SPORT.DRI.SIR.E-MWST.  
108404602,142,WEIN                            ,1423,WEISSWEIN AUSLAND EUROPA        ,14235,WEISSWEIN OSTEUROPA             
108537082,117,GEMUESE/KARTOFFELN              ,1171,"KARTOFFELN, SÜSSKARTOFFELN      ",11711,KARTOFFELN                      
108769724,108,FLEISCH CONV./WURST/SCHINK/BED  ,1084,ROH-/DAUERWURST - BED. -        ,10841,ROH-/DAUERWURST - BED. -        
108836860,138,SCHOKOLADENWAREN                ,1384,SPEZIALITAETEN/S.SCHOKOLADENWA  ,13844,SCHOKODRAGEES                   
107734428,166,DRUCKEREIERZEUGNISSE            ,1664,BUECHER E-MWST.                 ,16646,MALBUECHER                      
100973916,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1468,SCHORLEN                        ,14681,SCHORLE FLASCHE MEHRWEG         
109548572,158,KOERPERPFLEGEMITTEL             ,1583,BADEZUSAETZE UND DUSCHBAEDER    ,15831,DUSCHBAD (INKL.DUSCHGELE) 2IN1  
101059420,157,MUNDPFLEGEMITTEL                ,1574,ZAHNERSATZPFLEGE                ,15742,HAFTMITTEL/ZAHNERSATZPFL/ZUBEH  
108423388,124,"TK-EIS,BACK- UND SUESSWAREN     ",1242,SPEISEEIS HAUSHALTSPACKUNGEN    ,12423,EIS-HAUSHALTSPACKUNGEN AB 500ML 
107162268,104,FLEISCH-SPEZIALITAET./VEREDELU  ,1041,FLEISCH-SPEZIALITAETEN  E-MWST  ,10412,VEREDELUNGSPRODUKTE FLEISCH     
101019452,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1332,BRUEHEN U. BOUILLONS            ,13321,BRUEHEN U. BOUILLONS            
107201788,135,"FLEISCH-,WURST-U. FISCHKONSERV  ",1353,WUERSTCHENKONSERVEN             ,13531,WUERSTCHENKONSERVEN             
101085756,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1333,"KETCHUP,FERTIGSAUCEN            ",13332,KETCHUP                         
101485028,139,ZUCKERWAREN                     ,1391,BONBONS                         ,13911,FRUCHTBONBONS                   
108739780,123,TK-FERTIGGERICHTE/TK-O+G        ,1231,TK-FERTIGGERICHTE               ,12315,TK-FERTIGGERICHTE BEUTEL        
102428388,106,HÄHNCHENFLEISCH                 ,1062,HÄHNCHENFLEISCH SB              ,10621,HÄHNCHENFLEISCH SB              
100760868,150,KAFFEE                          ,1501,BOHNENKAFFEE GANZE BOHNEN       ,15013,CAFE CREMA GANZE BOHNE          
108875556,195,DIVERSE NON-FOOD                ,1953,NON-FOOD TCHIBO / ERNSTINGS     ,19531,NON-FOOD TCHIBO                 
108306692,131,SUPPEN U. FERTIGGERICHTE        ,1314,FERTIGGERICHTE TROCKEN          ,13142,FERTIGGERICHTE INSTANT          
107140484,139,ZUCKERWAREN                     ,1395,SONSTIGE SUESSWAREN(+GELEEFR.)  ,13951,SONST. SÜßWAREN                 
102013988,139,ZUCKERWAREN                     ,1395,SONSTIGE SUESSWAREN(+GELEEFR.)  ,13951,SONST. SÜßWAREN                 
107293220,143,ROSEWEIN/WEINAPERITIF/LIKÖRWEIN ,1433,ROSEWEIN AUSLAND EUROPA         ,14335,ROSEWEIN ÖSTERREICH/SCHWEIZ     
108679140,115,CONVENIENCE                     ,1157,SOFORTV. GETRÄNKE               ,11574,SOFORTV. SMOOTHIES-CONV.V-MWST  
107920804,129,BABY                            ,1291,BABYKOST GLAS                   ,12913,BABY MENUES (GLAS/SCHALE) E-MWST
100333252,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1324,SENF/MEERRETTICH                ,13242,SENF GLAS/BECHER/TASSE          
107788164,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1324,SENF/MEERRETTICH                ,13242,SENF GLAS/BECHER/TASSE          
107778468,137,SALZGEBÄCK/KNABBERKERNE         ,1371,CHIPS/EXTRUDER                  ,13711,CHIPS UND STICKS                
102369956,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1325,GEWUERZE TROCKEN                ,13252,GEWÜRZE MONO STREUER            
108795332,138,SCHOKOLADENWAREN                ,1385,PRALINEN                        ,13852,PRALINENMISCHUNGEN              
107257444,115,CONVENIENCE                     ,1158,SOFORTV. SNACKS                 ,11581,SOFORTV. BROTSNACKS CONV.GEK.   
102839940,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1333,"KETCHUP,FERTIGSAUCEN            ",13334,TOMATEN-U.NUDELFERTIGSAUCEN     
103156228,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1651,FOOD HUND                       ,16513,SCHALE HUND                     
101302884,117,GEMUESE/KARTOFFELN              ,1171,"KARTOFFELN, SÜSSKARTOFFELN      ",11711,KARTOFFELN                      
109874372,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1333,"KETCHUP,FERTIGSAUCEN            ",13331,GRILLSAUCEN UND DIPS GLAS       
108591524,123,TK-FERTIGGERICHTE/TK-O+G        ,1232,"TK-PIZZEN,BAGUETTES,QUICHES     ",12324,TK-PIZZA GROSS                  
108939620,115,CONVENIENCE                     ,1159,SOFORTV. OBST/GEMÜSE U. DESSERT ,11593,SOFORTV. SALATSCHALE/-BOX CONV. 
108687076,153,WASCHMITTEL                     ,1532,FEIN- UND SPEZIALWASCHMITTEL    ,15322,FEIN- U.WOLLWASCHMITTEL FLUESS  
107802884,153,WASCHMITTEL                     ,1533,WEICHSPUELER/WÄSCHEPARFUM       ,15331,WEICHSPUELER                    
103846148,138,SCHOKOLADENWAREN                ,1381,SCHOKOLADE MASSIV               ,13811,SCHOKOLADE BIS 100 G            
107832612,136,OBST- U. GEMUESEKONSERVEN       ,1363,GEMUESE GLAS                    ,13631,GEMUESE GLAS/PACKUNG            
100689156,147,"SAEFTE,NEKTARE U. FRUCHTSAFTGE  ",1474,"SONST. OBSTSAEFTE, NEKTARE ETC  ",14743,SONSTIGE OBSTSAEFTE PACKUNG     
108373092,174,AUTO/FAHRRAD U. ZUBEHÖR         ,1744,AUTOAUSSTATTUNG INNEN           ,17444,SONSTIGE AUTO-INNENAUSSTATTUNG  
108567588,105,PUTENFLEISCH                    ,1052,PUTENFLEISCH SB                 ,10522,PUTENFLEISCH CONV. SB           
108057700,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16524,BEUTEL KATZE                    
100192964,140,GEBAECK                         ,1401,SUESSGEBAECK                    ,14016,WAFFELN                         
102110756,111,KAESE - SB -                    ,1111,NATURKAESE - SB -               ,11112,NATURKAESE PORTIONEN - SB -     
107978180,134,BROTAUFSTRICH/FERTIGSAUCEN      ,1341,FRUCHTBROTAUFSTRICHE            ,13411,KONFITUEREN/MARMELADEN/GELEES   
108210148,121,MILCH UND MOLKEREIPRODUKTE      ,1219,DESSERTS                        ,12191,PUDDING/MILCHREIS               
100276900,143,ROSEWEIN/WEINAPERITIF/LIKÖRWEIN ,1431,ROSEWEIN DEUTSCHLAND TEIL 1     ,14311,ROSEWEIN BADEN                  
107146084,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16524,BEUTEL KATZE                    
102043172,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1141,FERTIGSAL./DRESSING/FEINK. -BE  ,11416,FEINKOST / ANTIPASTI PRE PACK   
102300804,147,"SAEFTE,NEKTARE U. FRUCHTSAFTGE  ",1475,GEMUESESAEFTE                   ,14752,GEMUESESAEFTE FL.EW GLAS/PET    
108685060,137,SALZGEBÄCK/KNABBERKERNE         ,1373,KNABBERKERNE                    ,13731,"ERDNÜSSE, SONST. KERNE          "
107788356,140,GEBAECK                         ,1401,SUESSGEBAECK                    ,14011,BUTTERKEKS-/KEKS                
108607332,140,GEBAECK                         ,1401,SUESSGEBAECK                    ,14011,BUTTERKEKS-/KEKS                
108155652,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16525,SNACKS KATZE E-MWST             
100200612,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1466,SPORTDRINKS + SONSTIGE GETRAEN  ,14669,ENERGY DRINKS DOSE/PET EW       
103064900,177,SCHREIBWAREN/EINWEGGESCHIRR/KE  ,1772,BUEROBEDARF                     ,17723,RINGBUECHER/ORDNER/MAPPEN/EINLAG
102920804,177,SCHREIBWAREN/EINWEGGESCHIRR/KE  ,1772,BUEROBEDARF                     ,17723,RINGBUECHER/ORDNER/MAPPEN/EINLAG
101140132,138,SCHOKOLADENWAREN                ,1381,SCHOKOLADE MASSIV               ,13811,SCHOKOLADE BIS 100 G            
108613284,114,FEINKOST/FERTIGSALATE/FRI.PIZZ  ,1146,FRISCHE TEIGWAREN/PIZZEN/BAGUE  ,11464,VEGANE ARTIKEL GEKÜHLT - SB     
107831844,195,DIVERSE NON-FOOD                ,1953,NON-FOOD TCHIBO / ERNSTINGS     ,19531,NON-FOOD TCHIBO                 
108357668,134,BROTAUFSTRICH/FERTIGSAUCEN      ,1341,FRUCHTBROTAUFSTRICHE            ,13413,"MUS-, KRAUT- U. SIRUPAUFSTRICH  "
107741508,176,"GLAS,PORZELL,KERAM,KORBW/METAL  ",1762,PORZELLAN/KERAMIK/METALL        ,17622,PORZ./KERAM./METALL-GESCHENKART.
108849748,153,WASCHMITTEL                     ,1535,FLECKENREINIG/ENTFAERBER/FARBE  ,15351,"FLECKENREINIGER,-SALZ,ENTFAERB  "
103459578,102,SCHWEINEFLEISCH                 ,1022,SCHWEINEFLEISCH - SB -          ,10223,SCHWEINEFLEISCH HACKFL.-PROD. SB
108688506,115,CONVENIENCE                     ,1158,SOFORTV. SNACKS                 ,11586,SOFORTV. SUSHI-SB               
103568570,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16524,BEUTEL KATZE                    
107140346,131,SUPPEN U. FERTIGGERICHTE        ,1311,TROCKENSUPPEN                   ,13111,TROCKENSUPPEN-BEUTEL/-PAECKCHE  
109792058,121,MILCH UND MOLKEREIPRODUKTE      ,1216,SPEISEQUARK UND SCHICHTKAESE    ,12161,SPEISEQUARK/SCHICHTKÄSE/BROTAUFS
107281402,164,SAISONART/SAMMELGRUPP./CAFETER  ,1645,WEIHNACHTEN-SCHOKOLADE E-MWST.  ,16456,WEIHN.-SPEZIALITÄTEN            
105610044,133,"SAUCEN,BRÜHEN,FEINKOST,FIXPROD. ",1332,BRUEHEN U. BOUILLONS            ,13321,BRUEHEN U. BOUILLONS            
108709404,121,MILCH UND MOLKEREIPRODUKTE      ,1218,JOGHURT                         ,12188,MILCHALTERN.FRISCHE             
106691420,128,"BACKARTIKEL,PUDDING             ",1284,"BACKZUTATEN,SONSTIGE BACKARTIK  ",12841,"BACKZUTATEN, BACKHILFEN         "
105000572,175,HAUSHALTSWAREN                  ,1754,"HAUSHALTSTUECH,SCHWAEMME,HANDS  ",17542,SCHWAMMTUECHER U. SCHWAEMME     
103620730,139,ZUCKERWAREN                     ,1395,SONSTIGE SUESSWAREN(+GELEEFR.)  ,13951,SONST. SÜßWAREN                 
102168100,162,"PAPIER/FOL/BEUT, MEHRWERTDIENSTE",1625,"FOLIEN,BEUTEL,ZUBEHOER          ",16254,MÜLLBEUTEL                      
101460388,158,KOERPERPFLEGEMITTEL             ,1581,HAUT- U. GESICHTSPFLEGE         ,15812,KOERPERPFLEGE                   
108062852,117,GEMUESE/KARTOFFELN              ,1178,FEIN- UND STENGELGEMÜSE         ,11781,FEIN- UND STENGELGEMÜSE         
100878564,123,TK-FERTIGGERICHTE/TK-O+G        ,1232,"TK-PIZZEN,BAGUETTES,QUICHES     ",12321,TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE 
100797028,121,MILCH UND MOLKEREIPRODUKTE      ,1218,JOGHURT                         ,12182,FRUCHTJOGHURT EINWEG            
108710404,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1467,EISTEE                          ,14673,EISTEE PACKUNG/PET EINWEG       
107815972,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16522,DOSENNAHRUNG KATZE              
108556196,165,FOOD/NONFOOD TIER; ZOOLO.ARTIKEL,1652,FOOD KATZE INKL. STREU          ,16521,TROCKENNAHRUNG KATZE            
103537860,127,NAEHRMITTEL                     ,1274,REIS/SÄTTIGUNGSBEILA.AUS GETREID,12743,REIS-SPEZIALITAETEN             
102737796,111,KAESE - SB -                    ,1113,WEICHKAESE - SB -               ,11131,WEICHKAESE - SB -               
100436772,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1463,COLA-PRODUKTE                   ,14634,"COLA-PRODUKTE,PACKUNG/PET EW    "
100702820,175,HAUSHALTSWAREN                  ,1754,"HAUSHALTSTUECH,SCHWAEMME,HANDS  ",17541,PUTZ-/BOHNER- U. STAUBTUECHER   
108443908,190,COMPUTER UND BUERO              ,1905,KOMMUNIKATION                   ,19054,MOBILFUNKZUBEHÖR (KABEL U.A.)   
103661028,146,"ALKOHOLFR.GETRAENKE,WASSER,LIM  ",1467,EISTEE                          ,14671,EISTEE FLASCHE MEHRWEG          
108321380,164,SAISONART/SAMMELGRUPP./CAFETER  ,1643,WEIHNACHTEN-GEBÄCK E-MWST       ,16431,LEBKUCHEN                       
102371188,132,"GEWUERZE,SALZ,ESSIG,OEL,SENF    ",1325,GEWUERZE TROCKEN                ,13252,GEWÜRZE MONO STREUER            
103343162,117,GEMUESE/KARTOFFELN              ,1171,"KARTOFFELN, SÜSSKARTOFFELN      ",11711,KARTOFFELN                      
102077860,127,NAEHRMITTEL                     ,1272,TEIGWAREN                       ,12722,DEUTSCHE TEIGWAREN UEBER 250 G  
103236164,145,BIER                            ,1459,BIERMISCH-/MALZGETRAENKE        ,14591,BIERMISCHGETRAENKE FL MEHRWEG   
108077476,151,TEE UND KAKAO                   ,1513,KRAEUTER-/FRUECHTE-TEE E-MWST.  ,15131,KRAEUTER-/FRUECHTE-TEE BEUTEL   
108456996,113,BROT UND KUCHEN SB              ,1132,BROETCHEN - SB -                ,11322,BRÖTCHEN VOLLKORN/MEHRKORN SB   
108408932,129,BABY                            ,1294,SUESSWAREN/SNACKS BABYKOST      ,12941,BABY SUESSWAREN/SNACKS E-MWST   
101960610,109,FLEISCH CONVEN./WURST/SCHINK/   ,1093,KOCHWURST - SB -                ,10931,KOCHWURST - SB -KUEHLBED.       
108793730,154,PUTZ- UND REINIGUNGSMITTEL      ,1544,LUFTVERBESSERER U. HH.INSEKTIZ  ,15441,LUFTVERBESSERER                 
