lat;lon;CODE;CITY;COUNTRY;MONTH;AVG_TEMP;PRCP;TSUN
-19.08;-169.93;HUE;ALOFI;NEW ZEALAND;Januar;26;0;0
-18.88;-48.23;UDI;UBERLANDIA;BRAZIL;Juli;19.6;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Januar;23.63;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Februar;23.1;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Maerz;23.4;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;April;21.6;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Mai;17.9;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Juni;15.13;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Juli;14.83;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;August;19.03;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;September;22.75;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Oktober;25.75;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;November;25.88;0;0
-18.63;27.02;WKM;HWANGE NATIONAL PARK;ZIMBABWE;Dezember;24.53;0;0
-18.35;-70.34;ARI;ARICA;CHILE;April;19.96;0;13677.78
-18.35;-70.34;ARI;ARICA;CHILE;November;19.29;0;13584.44
-17.83;25.16;BBK;KASANE;BOTSWANA;Mai;22.24;0;0
-17.83;25.16;BBK;KASANE;BOTSWANA;Juni;19.84;0;0
-17.83;25.16;BBK;KASANE;BOTSWANA;Juli;19.7;0;0
-17.83;25.16;BBK;KASANE;BOTSWANA;August;23.03;0;0
-17.83;25.16;BBK;KASANE;BOTSWANA;September;27.07;0;0
-17.82;25.82;LVI;LIVINGSTONE;ZAMBIA;Juni;17.47;0;18405
-17.82;25.82;LVI;LIVINGSTONE;ZAMBIA;August;20.83;0;19215
-16.52;28.89;KAB;KARIBA;ZIMBABWE;Juni;19.73;0;0
-16.52;28.89;KAB;KARIBA;ZIMBABWE;Juli;19.43;0;0
-16.52;28.89;KAB;KARIBA;ZIMBABWE;August;23.58;0;0
-15.86;-52.39;N/A;BARRA DO GARCAS;BRAZIL;Juni;24.77;0;0
-15.86;-52.39;N/A;BARRA DO GARCAS;BRAZIL;Juli;24.23;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Januar;22.52;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Februar;22.8;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Maerz;22.66;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;April;21.18;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Mai;19.27;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;August;15.82;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Oktober;17.57;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;November;19.13;0;0
-15.36;-75.14;N/A;SAN JUAN;PERU;Dezember;20.72;0;0
-15.33;28.45;LUN;LUSAKA;ZAMBIA;Juni;19.27;0;0
-15.33;28.45;LUN;LUSAKA;ZAMBIA;Juli;19.35;0;0
-15.33;28.45;LUN;LUSAKA;ZAMBIA;August;22.42;0;0
-15.33;28.45;LUN;LUSAKA;ZAMBIA;September;25.98;0;0
-15.25;23.16;N/A;MONGU;ZAMBIA;Juni;18.96;0;18792
-15.25;23.16;N/A;MONGU;ZAMBIA;Juli;18.55;0;18252
-14.85;-74.96;N/A;NAZCA;PERU;Juni;18.2;0;0
-14.85;-74.96;N/A;NAZCA;PERU;Juli;17.93;0;0
-14.85;-74.96;N/A;NAZCA;PERU;August;18.25;0;0
-14.85;-74.96;N/A;NAZCA;PERU;Oktober;21.3;0;0
-14.7;34.35;N/A;ULONGWE;MOZAMBIQUE;August;17.93;0;0
-14.7;34.35;N/A;ULONGWE;MOZAMBIQUE;September;19.8;0;0
-14.63;47.76;HVA;ANALALAVA;MADAGASCAR;Juni;26.3;0;0
-14.63;47.76;HVA;ANALALAVA;MADAGASCAR;Juli;24.23;0;18420
-14.63;47.76;HVA;ANALALAVA;MADAGASCAR;Oktober;27.5;0;0
-13.75;-76.22;PIO;PISCO;PERU;April;21.45;0;0
-11.59;27.53;FBM;LUBUMASHI;ZAIRE;Juni;18.8;0;0
-11.59;27.53;FBM;LUBUMASHI;ZAIRE;Juli;17.85;0;0
-11.59;27.53;FBM;LUBUMASHI;ZAIRE;August;20.23;0;0
-11.59;27.53;FBM;LUBUMASHI;ZAIRE;September;23.7;0;0
-8.86;13.23;LAD;LUANDA;ANGOLA;Juni;23.36;0;0
-8.86;13.23;LAD;LUANDA;ANGOLA;Juli;21.53;0;0
-8.85;121.66;ENE;ENDE;INDONESIA;Mai;27.4;0;0
-8.85;121.66;ENE;ENDE;INDONESIA;Juni;27.2;0;0
-8.85;121.66;ENE;ENDE;INDONESIA;Juli;26.5;0;0
-6.17;35.75;DOD;DODOMA;TANZANIA;August;21.04;0;18267.69
-4.58;-81.25;TYL;TALARA;PERU;September;20.89;0;0
-4.55;-81.22;TYL;TALARA;PERU;September;20.89;0;0
-3.43;37.07;JRO;KILIMANJARO;TANZANIA;Januar;25.1;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Januar;26.8;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Februar;27.13;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Maerz;26.9;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;April;26.5;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Mai;26.7;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Juni;26.67;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Juli;26.8;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;August;27.43;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;September;27.9;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Oktober;27.7;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;November;27.13;0;0
-3.38;-64.72;TFF;TEFE;BRAZIL;Dezember;26.55;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Januar;21.43;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Februar;28.08;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Maerz;21.7;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;April;27.83;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Mai;22.2;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Juni;27.78;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Juli;21.27;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;August;27.99;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;September;20.1;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Oktober;28.1;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;November;19.43;0;0
-3.37;36.63;ARK;ARUSHA;TANZANIA;Dezember;27.57;0;0
-3.36;37.32;QSI;MOSHI;TANZANIA;Januar;25.1;0;0
-3.31;17.38;FDU;BANDOUNDU;ZAIRE;August;26.6;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Januar;28.15;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Februar;28.4;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Maerz;29.2;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;April;28.77;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Mai;27.5;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Juni;26.3;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Juli;25.8;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;August;25.65;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;September;26.33;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Oktober;27;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;November;27.8;0;0
-0.38;42.46;KMU;KISMAYU;SOMALIA;Dezember;27.9;0;0
1.64;103.67;JHB;JOHOR BAHRU;MALAYSIA;Januar;26.65;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Januar;25.1;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Februar;25.77;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Maerz;30.6;0;0
1.73;33.62;SRT;SOROTI;UGANDA;April;25.5;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Mai;30.8;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Juni;24.57;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Juli;29;0;0
